Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
0,0.1358333,-0.2145833,0.5455833,-0.02,-0.11,0.95,100.7781,0,0,148
0.05,0.1375,-0.2089167,0.55625,-0.03,-0.08,0.9700001,201.8951,0,0,148
0.1,0.07183333,-0.2105833,0.5783333,-0.07,-0.03,0.9599999,298.1736,0,-5.389514,148
0.15,0.2358333,-0.1895833,0.6195833,-0.09,-0.05,0.95,304.4637,0,-5.389514,148
0.2,0.1089167,-0.19,0.59625,-0.0,0.01,1.08,303.2878,0,-21.03589,148
0.25,0.1405833,-0.205,0.5735,-0.14,-0.27,0.94,308.4897,0,-36.56466,148
0.3,0.1379167,-0.20975,0.58725,0.13,0.07,1.09,302.5302,0,-36.56466,148
0.35,0.09958333,-0.2289167,0.5833333,-0.01,-0.1,1.26,300.4258,0,-52.01768,148
0.4,0.1485,-0.2270833,0.5918334,-0.27,-0.39,1.01,300.0062,0,-67.26026,148
0.45,0.141,-0.2370833,0.5558333,0.2,0.16,0.79,299.1445,0,-67.26026,148
0.5,0.1383333,-0.2254167,0.5880833,-0.33,-0.36,1.0,301.82,0,-82.37472,148
0.5500001,0.1176667,-0.2504167,0.5783333,0.33,-0.14,1.16,299.1486,0,-97.48957,148
0.6000001,0.141,-0.2535,0.57625,0.44,-0.01,1.08,298.596,0,-97.48957,148
0.6500001,0.1320833,-0.2418333,0.5804167,0.39,0.05,1.04,297.6312,0,-112.5492,148
0.7000001,0.1341667,-0.2530833,0.5616667,-0.46,-0.35,0.94,298.5517,0,-112.5492,148
0.7500001,0.14,-0.25225,0.6068334,0.0,-0.19,0.87,298.534,0,-127.6043,148
0.8000001,0.1451667,-0.2475,0.5668333,0.35,0.27,0.99,299.1176,0,-142.7161,148
0.8500002,0.13625,-0.25725,0.5970833,-0.37,-0.61,1.05,299.1104,0,-142.7161,148
0.9000002,0.1768333,-0.2743333,0.5464167,0.32,0.48,1.1,300.3687,0,-157.8271,148
0.9500002,0.1518333,-0.26,0.6008334,-0.32,-0.12,0.67,300.3323,0,-157.8271,148
1.0,0.1616667,-0.26,0.5480833,-0.11,-0.59,1.16,301.6542,0,-173.0604,148
1.05,0.17725,-0.2595833,0.5541667,0.46,0.0,1.32,302.161,0,-188.4765,148
1.1,0.1958333,-0.2543334,0.56475,0.23,0.35,1.15,304.5984,0,-188.4765,148
1.15,0.2095833,-0.2643333,0.5668333,-0.03,0.22,0.88,306.7774,0,-204.1363,148
1.2,0.18725,-0.28,0.5604167,-0.03,0.01,0.81,306.5928,0,-204.1363,148
1.25,0.1839167,-0.2595833,0.5655833,-0.2,-0.07,0.71,305.8335,0,-219.9956,148
1.3,0.2075,-0.2575,0.59475,-0.01,0.34,0.57,305.9844,0,-219.9956,148
1.35,0.21225,-0.2676667,0.5530834,0.21,-0.19,1.5,307.5313,0,-235.794,148
1.4,0.18225,-0.2776667,0.5518333,-0.26,-1.31,1.24,306.8517,0,-251.7472,148
1.45,0.1733333,-0.2876667,0.551,-0.36,0.08,0.53,304.2545,0,-251.7472,148
1.5,0.1851667,-0.301,0.5880833,0.31,0.44,0.99,301.983,0,-267.3726,148
1.55,0.2020833,-0.2914167,0.5754167,0.33,0.01,1.14,302.4697,0,-282.8196,148
1.6,0.1893333,-0.3089167,0.5730834,-0.37,-0.91,0.85,302.614,0,-282.8196,148
1.65,0.1918333,-0.3143333,0.591,-0.04,0.48,0.55,302.5462,0,-298.281,148
1.699999,0.1716667,-0.32,0.57875,0.28,0.72,1.46,300.3702,0,-298.281,148
1.749999,0.1754167,-0.3218333,0.56125,-0.4,-1.2,0.76,299.3999,0,-313.518,148
1.799999,0.17,-0.33125,0.5995833,0.37,0.62,1.16,297.9906,0,-328.5171,148
1.849999,0.19225,-0.33,0.5739167,-0.39,-0.61,0.84,298.6614,0,-328.5171,148
1.899999,0.195,-0.3508333,0.616,0.32,0.56,0.99,298.8192,0,-343.5832,148
1.949999,0.1941667,-0.35975,0.55875,-0.19,-1.15,1.31,299.2157,0,-343.5832,148
1.999999,0.18475,-0.35975,0.6085,0.2,1.34,0.67,298.202,0,-358.7048,148
2.049999,0.1716667,-0.3485,0.5825,0.1,0.48,0.44,297.2547,0,-373.6302,148
2.099999,0.2155833,-0.3625,0.5633333,-0.39,-1.09,0.85,298.0492,0,-373.6302,148
2.149999,0.18975,-0.3745833,0.57475,0.32,0.45,1.19,297.9433,0,-388.6352,148
2.199999,0.21475,-0.3654167,0.5433333,-0.28,-0.56,0.8,299.3492,0,-388.6352,148
2.249999,0.2083333,-0.3866667,0.59475,0.05,0.61,1.47,298.5409,0,-403.7701,148
2.299999,0.1905833,-0.3633333,0.54125,-0.15,0.58,0.37,298.8122,0,-418.8513,148
2.349999,0.2201667,-0.3801667,0.5518333,-0.35,-1.48,0.62,298.6903,0,-418.8513,148
2.399999,0.1855833,-0.3883333,0.59625,0.18,-0.44,1.34,297.7661,0,-433.9203,148
2.449999,0.1785,-0.3818333,0.57225,0.25,0.35,0.85,296.8916,0,-433.9203,148
2.499999,0.2255833,-0.3926667,0.5391667,-0.23,-1.25,1.12,296.8251,0,-448.8095,148
2.549999,0.2441667,-0.3870833,0.5754167,0.14,1.01,1.42,299.0584,0,-448.8095,148
2.599999,0.2108333,-0.3975,0.5845833,0.24,0.94,0.68,300.0205,0,-463.9153,148
2.649999,0.211,-0.4118333,0.5480833,-0.4,-0.38,0.59,299.1042,0,-479.1174,148
2.699999,0.191,-0.40475,0.57625,-0.32,-0.91,1.05,296.7773,0,-494.2278,148
2.749999,0.1966667,-0.4030833,0.5775,0.06,0.13,1.32,296.1328,0,-494.2278,148
2.799999,0.19875,-0.38375,0.5735,0.19,1.42,0.7,296.2169,0,-509.0411,148
2.849998,0.19625,-0.4035,0.5825,-0.08,-0.16,0.41,296.4418,0,-509.0411,148
2.899998,0.1905833,-0.42475,0.5820833,-0.41,-0.94,0.63,295.8276,0,-523.8853,148
2.949998,0.1880833,-0.4164167,0.5825,-0.22,-0.62,1.15,294.8033,0,-538.668,148
2.999998,0.1893333,-0.4175,0.56,0.2,1.01,1.08,294.2889,0,-538.668,148
3.049998,0.18225,-0.4204166,0.5930833,-0.06,0.62,0.34,294.046,0,-553.2969,148
3.099998,0.2,-0.4164167,0.59625,-0.36,-0.51,0.52,294.495,0,-553.2969,148
3.149998,0.16625,-0.4329167,0.5705833,-0.4,-1.22,0.78,293.3663,0,-567.9464,148
3.199998,0.17725,-0.4285,0.5714167,-0.04,-0.44,1.17,293.045,0,-582.483,148
3.249998,0.15725,-0.4320833,0.57875,0.23,0.73,1.0,291.1595,0,-582.483,148
3.299998,0.1885,-0.4416667,0.5395833,-0.06,0.44,0.43,291.8611,0,-596.799,148
3.349998,0.2033333,-0.4320833,0.56475,-0.33,-0.51,0.49,292.7706,0,-596.799,148
3.399998,0.1945833,-0.4168334,0.571,0.29,0.53,0.67,294.4458,0,-611.2761,148
3.449998,0.1966667,-0.4351666,0.5758333,0.05,-0.21,0.7,294.8482,0,-625.9207,148
3.499998,0.18225,-0.4239167,0.5383334,-0.25,-1.15,1.11,294.2025,0,-625.9207,148
3.549998,0.1826667,-0.4225,0.5443334,-0.06,-0.09,1.55,293.6549,0,-640.5409,148
3.599998,0.191,-0.41125,0.5545833,0.2,0.75,1.5,293.8523,0,-640.5409,148
3.649998,0.2151667,-0.3918333,0.54375,0.37,0.94,1.12,295.6885,0,-655.1261,148
3.699998,0.2358333,-0.3926667,0.56975,0.35,0.49,0.9,298.2244,0,-669.895,148
3.749998,0.2308333,-0.3893333,0.5726666,-0.11,-0.35,0.73,300.1416,0,-669.895,148
3.799998,0.2025,-0.391,0.5680833,-0.18,-1.45,1.07,299.6773,0,-685.1091,148
3.849998,0.20375,-0.4043333,0.5497499,0.05,-1.01,1.59,298.2625,0,-685.1091,148
3.899998,0.2139167,-0.375,0.5676666,0.15,-0.56,1.48,297.9421,0,-700.1354,148
3.949997,0.2126667,-0.381,0.5579166,0.31,0.56,1.22,298.5387,0,-715.1296,148
3.999997,0.2151667,-0.3918333,0.5676666,0.25,0.66,0.75,299.2147,0,-715.1296,148
4.049997,0.2185,-0.3858333,0.5664167,0.1,1.23,1.19,299.155,0,-730.251,148
4.099998,0.2354167,-0.3516667,0.5676666,0.14,1.34,0.52,300.6984,0,-730.251,148
