Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
0,0.1101667,-0.1591667,0.3351667,-0.04,-0.13,0.9599999,101.563,0,0,148,0
0.05,0.1329167,-0.16225,0.33725,-0.04,-0.12,1.02,204.6712,0,0,148,0
0.1,0.141,-0.16,0.29475,-0.12,-0.16,1.03,308.4672,0,-5.667119,148,-56.67119
0.15,0.1616667,-0.1570833,0.3435,-0.16,-0.07,0.92,312.1789,0,-5.667119,148,-56.67119
0.2,0.15875,-0.256,0.4129167,0.02,-0.06,1.03,309.6719,0,-22.08501,148,-164.1789
0.25,0.2345833,-0.2275,0.265,-0.13,-0.15,1.17,311.1686,0,-38.2522,148,-161.6719
0.3,0.2295833,-0.25725,0.3143333,-0.23,-0.34,0.94,309.8098,0,-54.56906,148,-163.1686
0.35,0.2280833,-0.27,0.3091667,0.19,0.18,0.79,312.605,0,-54.56906,148,-163.1686
0.4,0.24,-0.2920833,0.325,-0.34,-0.38,0.86,310.4488,0,-71.02956,148,-164.605
0.45,0.1905833,-0.3143333,0.3414166,0.07,-0.19,1.05,306.9426,0,-71.02956,148,-164.605
0.5,0.195,-0.3033333,0.3333333,0.01,-0.1,1.01,304.4578,0,-86.92382,148,-158.9426
0.5500001,0.2114167,-0.3005833,0.3385,-0.29,-0.62,1.22,303.0283,0,-102.5696,148,-156.4578
0.6000001,0.24725,-0.30625,0.3258333,-0.19,0.14,0.69,305.5905,0,-102.5696,148,-156.4578
0.6500001,0.2139167,-0.3183333,0.3026667,-0.35,-0.75,0.86,305.979,0,-118.3287,148,-157.5905
0.7000001,0.2576667,-0.3089167,0.3116667,0.38,0.02,1.18,307.5492,0,-118.3287,148,-157.5905
0.7500001,0.245,-0.3279166,0.3176667,0.07,0.13,0.89,306.8323,0,-134.2836,148,-159.5492
0.8000001,0.2151667,-0.3201667,0.3341667,-0.23,-0.51,0.84,306.8331,0,-150.1668,148,-158.8323
0.8500002,0.22725,-0.33225,0.3155833,-0.32,-0.93,0.94,305.013,0,-150.1668,148,-158.8323
0.9000002,0.20625,-0.34,0.3176667,-0.33,-1.44,0.73,303.1719,0,-165.8681,148,-157.013
0.9500002,0.1979167,-0.3318333,0.3133333,-0.19,-0.51,0.53,302.1421,0,-165.8681,148,-157.013
1.0,0.2168333,-0.3364167,0.34475,0.11,0.52,0.57,301.6194,0,-181.2823,148,-154.1421
1.05,0.24,-0.3243333,0.3291667,0.22,0.01,1.21,303.3724,0,-196.6443,148,-153.6194
