x,y,z,heading1,heading2,heading3
0.1933333,0.2430833,-0.3593333,51.50344,304.0777,151.7183,0
0.1851667,0.2383333,-0.3564167,52.15554,303.7704,152.5471,0.1
0.1576667,0.27125,-0.3626667,59.83229,306.794,156.5034,0.2
0.1316667,0.2608333,-0.355,63.21571,306.3063,159.6506,0.3
0.08391666,0.2743333,-0.361,72.99149,307.2321,166.9136,0.4
0.1,0.2676667,-0.3525,69.51436,307.2108,164.162,0.5
0.07016667,0.286,-0.3666667,76.21542,307.9542,169.1666,0.6
0.08058333,0.291,-0.35,74.52159,309.7411,167.0343,0.7
0.09375,0.29375,-0.3495833,72.29957,310.0399,164.9878,0.8000001
0.08683333,0.285,-0.345,73.05515,309.5597,165.8726,0.9000001
0.071,0.2793333,-0.3576667,75.73875,307.9894,168.7722,1.0
0.05458333,0.2833333,-0.35975,79.09572,308.2234,171.3726,1.1
-0.01558333,0.28375,-0.3626667,93.14348,308.0396,182.4604,1.2
-0.09958333,0.2435,-0.3768333,112.2429,302.8695,194.8028,1.3
-0.1568333,0.18,-0.3745833,131.0655,295.6659,202.7185,1.4
-0.1983333,0.08916666,-0.3764167,155.7923,283.3268,207.7847,1.5
-0.2029167,-0.026,-0.3970833,187.3016,266.2538,207.0679,1.6
-0.16,-0.1155833,-0.4005833,215.8442,253.9052,201.7726,1.7
-0.09666666,-0.1891667,-0.4001667,242.9324,244.699,193.5806,1.8
-0.1020833,-0.1816667,-0.4214167,240.6672,246.6798,193.617,1.9
-0.17375,-0.1320833,-0.4055833,217.2418,251.9615,203.1901,2.0
-0.2329167,0.00225,-0.38475,179.4465,270.3351,211.1895,2.1
-0.2185,0.1483333,-0.3733333,145.8286,291.669,210.3391,2.2
-0.1029167,0.2664167,-0.3483333,111.1215,307.4099,196.46,2.3
0.03683333,0.3066667,-0.3443333,83.15108,311.6886,173.8943,2.4
0.1880833,0.2455833,-0.35725,52.55281,304.5057,152.2343,2.5
0.2666667,0.08558333,-0.3789167,17.79338,282.7274,144.8636,2.6
0.2791667,-0.03558333,-0.39725,352.7361,264.8814,144.9024,2.7
0.2264167,-0.1293333,-0.3929167,330.2642,251.7804,150.0475,2.799999
0.1855833,-0.1635,-0.4095833,318.6198,248.2388,155.6246,2.899999
0.1666667,-0.1830833,-0.3933333,312.3126,245.0396,157.0362,2.999999
0.15725,-0.1779167,-0.3976667,311.4716,245.8962,158.4246,3.099999
0.1966667,-0.1651667,-0.386,319.9754,246.8343,153.0012,3.199999
0.2345833,-0.1185,-0.3908334,333.1993,253.1328,149.0273,3.299999
0.2880833,-0.03558333,-0.3695833,352.9586,264.5005,142.0642,3.399999
0.3008333,0.09875,-0.37375,18.17267,284.8001,141.1692,3.499999
0.2185,0.2285,-0.35725,46.28157,302.6033,148.5493,3.599999
0.07016667,0.2868333,-0.361,76.25395,308.469,169.0007,3.699999
-0.1020833,0.24625,-0.36875,112.5165,303.7349,195.474,3.799999
-0.19625,0.1255833,-0.39,147.3842,287.849,206.7118,3.899998
-0.22475,-0.00225,-0.3916667,180.5736,269.6709,209.8485,3.999998
-0.1754167,-0.09183332,-0.4083333,207.6328,257.3252,203.248,4.099998
-0.141,-0.1466667,-0.4104167,226.1285,250.3351,198.9603,4.199998
-0.1530833,-0.141,-0.4141666,222.6472,251.1992,200.2852,4.299998
-0.2151667,-0.07666667,-0.3891666,199.6116,258.8553,208.9378,4.399998
-0.2235,0.1004167,-0.3908334,155.806,284.4093,209.7633,4.499998
-0.06583333,0.27475,-0.3655833,103.4747,306.9263,190.2083,4.599998
0.1625,0.27,-0.355,58.95829,307.2553,155.4042,4.699998
0.2968333,0.08875,-0.3666667,16.6461,283.6065,141.0083,4.799998
0.24975,-0.1055833,-0.3864167,337.0835,254.7177,147.1245,4.899998
0.1426667,-0.2085,-0.4030833,304.382,242.6492,160.5092,4.999998
-0.01433333,-0.2318333,-0.415,266.4622,240.8108,181.9781,5.099998
-0.1064167,-0.1920833,-0.4205833,241.013,245.4535,194.1991,5.199997
-0.1476667,-0.13625,-0.4095833,222.6973,251.6,199.8257,5.299997
-0.175,-0.106,-0.40225,211.2039,255.2372,203.5116,5.399997
-0.18725,-0.12,-0.40725,212.654,253.5819,204.6926,5.499997
-0.1670833,-0.1389167,-0.40725,219.7409,251.165,202.307,5.599997
-0.1033333,-0.2214167,-0.3929167,244.9819,240.5978,194.7346,5.699997
0.076,-0.2275,-0.39725,288.4727,240.2008,169.1693,5.799997
0.2354167,-0.11475,-0.39625,334.0139,253.8495,149.285,5.899997
0.2835,0.07266667,-0.3868333,14.37653,280.639,143.7633,5.999997
0.1764167,0.23225,-0.3643333,52.77976,302.5161,154.1629,6.099997
0.0175,0.2816667,-0.3695833,86.44477,307.3117,177.289,6.199996
-0.1135,0.2233333,-0.3818333,116.9401,300.3233,196.5546,6.299996
-0.2083333,0.1141667,-0.38475,151.2773,286.5272,208.4345,6.399996
-0.2268333,-0.03083333,-0.3883333,187.7408,265.4603,210.2901,6.499996
-0.20625,-0.1091667,-0.4068333,207.892,254.9795,206.8834,6.599996
-0.1468333,-0.1635,-0.4051667,228.0742,248.0241,199.9206,6.699996
-0.07183333,-0.2125,-0.3980833,251.3227,241.9064,190.2288,6.799996
-0.0275,-0.2435,-0.3954167,263.5565,238.375,183.9783,6.899996
0.04516667,-0.24225,-0.4018333,280.5613,238.9158,173.5868,6.999996
0.02416667,-0.23625,-0.4018333,275.8406,239.5475,176.5583,7.099996
-0.0385,-0.2439167,-0.3989167,261.0304,238.5564,185.5126,7.199996
-0.1658333,-0.1820833,-0.3941667,227.6741,245.2057,202.8174,7.299995
-0.2243333,-0.07016667,-0.3805833,197.3686,259.5539,210.5171,7.399995
-0.2095833,0.1104167,-0.3704167,152.218,286.5987,209.5014,7.499995
-0.121,0.2455833,-0.37,116.2297,303.5738,198.1092,7.599995
0.08766666,0.28125,-0.36875,72.68755,307.3332,166.6267,7.699995
0.2543334,0.16,-0.381,32.17382,292.7798,146.2752,7.799995
0.2704167,0.002666667,-0.39,0.564994,270.3918,145.2635,7.899995
0.21475,-0.1489167,-0.3966667,325.261,249.4229,151.5695,7.999995
0.1,-0.2076667,-0.3993333,295.7127,242.5241,165.9412,8.099995
0.011,-0.2205833,-0.4108333,272.8549,241.7679,178.4663,8.199995
-0.06083333,-0.2033333,-0.4154167,253.3439,243.9197,188.3312,8.299995
-0.071,-0.1830833,-0.4239167,248.8036,246.6412,189.508,8.399996
-0.09041667,-0.17475,-0.4108333,242.6427,246.9573,192.4119,8.499996
-0.04183333,-0.2125,-0.4055833,258.863,242.3483,185.8889,8.599997
0.03375,-0.2289167,-0.4095833,278.3869,240.7991,175.2894,8.699997
0.1616667,-0.19125,-0.39975,310.2084,244.4324,157.9806,8.799997
0.27125,-0.06291667,-0.3904166,346.9411,260.8453,145.2095,8.899998
0.26375,0.1185,-0.3868333,24.19386,287.0316,145.7131,8.999998
0.1725,0.2551667,-0.3618333,55.94017,305.1917,154.511,9.099998
0.02,0.2768333,-0.3639167,85.8678,307.2604,176.8543,9.199999
-0.1080833,0.2279167,-0.3776667,115.3714,301.1104,195.9704,9.299999
-0.1868333,0.1575,-0.3789167,139.8692,292.5706,206.2466,9.4
-0.2218333,0.06625,-0.3855834,163.3719,279.7492,209.9126,9.5
-0.2370833,-0.008333334,-0.3883333,182.0131,268.7707,211.4047,9.6
-0.2243333,-0.06541667,-0.3958333,196.2569,260.6159,209.5418,9.700001
-0.1954167,-0.1095833,-0.395,209.2823,254.4946,206.3228,9.800001
-0.1708333,-0.1458333,-0.3870833,220.486,249.3561,203.8135,9.900002
-0.19375,-0.1208333,-0.40725,211.95,253.4741,205.4429,10.0
-0.2243333,-0.04291667,-0.38475,190.8303,263.6353,210.2449,10.1
-0.2480833,0.09875,-0.3670833,158.2949,285.0568,214.0517,10.2
-0.1304167,0.266,-0.3666667,116.1182,305.9592,199.5796,10.3
0.08725,0.2993333,-0.3643333,73.7496,309.4063,166.5325,10.4
0.2464167,0.1943333,-0.3601667,38.26062,298.3498,145.6211,10.5
0.281,0.02041667,-0.3945833,4.155647,272.962,144.5437,10.6
0.2354167,-0.116,-0.39375,333.7685,253.5849,149.1255,10.7
0.1405833,-0.1855833,-0.4116667,307.1447,245.7337,161.1451,10.8
0.07891667,-0.2025,-0.4051667,291.2914,243.4444,168.9782,10.90001
0.04225,-0.2189167,-0.43375,280.9236,243.2196,174.4366,11.00001
0.001416667,-0.2076667,-0.42225,270.3909,243.8116,179.8078,11.10001
-0.03416667,-0.2120833,-0.4043333,260.8483,242.3218,184.8301,11.20001
0.005166667,-0.2141667,-0.4125,271.382,242.562,179.2824,11.30001
0.08833333,-0.2283333,-0.4183333,291.1495,241.3736,168.0768,11.40001
0.2214167,-0.1735,-0.386,321.9181,245.797,150.1606,11.50001
0.3145833,-0.004333333,-0.3683333,359.2108,269.326,139.5003,11.60001
0.2658334,0.1980833,-0.3435,36.6913,299.9704,142.2638,11.70001
0.08833333,0.3054167,-0.3605833,73.86894,310.2648,166.2351,11.80001
-0.10725,0.2555833,-0.3683333,112.7643,304.7565,196.2343,11.90001
-0.216,0.11475,-0.3835,152.0205,286.6581,209.3897,12.00001
-0.2180833,-0.03041667,-0.4043333,187.94,265.6979,208.3409,12.10001
-0.1675,-0.1345833,-0.4141666,218.7813,251.9984,202.0197,12.20001
-0.1085,-0.1985,-0.3908334,241.339,243.0745,195.5153,12.30001
-0.04641667,-0.2058333,-0.4189167,257.292,243.833,186.3227,12.40001
-0.0485,-0.2029167,-0.4175,256.5577,244.079,186.6262,12.50001
-0.1320833,-0.1643333,-0.4239167,231.2093,248.8109,197.3059,12.60001
-0.205,-0.02766667,-0.40225,187.6862,266.0654,207.0049,12.70001
-0.1675,0.16875,-0.37725,134.787,294.0997,203.9414,12.80001
0.08058333,0.2768333,-0.3655833,73.77026,307.1344,167.5694,12.90001
0.2316667,0.19125,-0.3704167,39.54102,297.3078,147.9772,13.00001
0.2876667,0.002666667,-0.3814167,0.531116,270.4006,142.9762,13.10001
0.2235,-0.13975,-0.39,327.9831,250.2857,150.184,13.20001
0.05375,-0.2279167,-0.4129167,283.2697,241.1027,172.5834,13.30001
-0.1185,-0.1768333,-0.41375,236.1731,246.8586,195.982,13.40001
-0.16875,-0.096,-0.4018333,209.6351,256.5636,202.78,13.50002
-0.2029167,-0.03375,-0.39975,189.4433,265.1741,206.9128,13.60002
-0.1979167,-0.06666667,-0.4018333,198.6157,260.5801,206.2218,13.70002
-0.1514167,-0.1289167,-0.41375,220.4112,252.694,200.1007,13.80002
-0.01058333,-0.211,-0.4091667,267.1286,242.7207,181.4817,13.90002
0.1270833,-0.1839167,-0.4120833,304.6438,245.9484,162.8606,14.00002
0.2618333,-0.06016667,-0.3941667,347.0587,261.3212,146.4051,14.10002
0.26625,0.096,-0.3789167,19.82745,284.217,144.9058,14.20002
0.1830833,0.2245833,-0.375,50.81261,300.9169,153.9773,14.30002
0.02541667,0.2845833,-0.3708333,84.89635,307.5032,176.0791,14.40002
-0.1205833,0.2205833,-0.37625,118.6635,300.3817,197.77,14.50002
-0.19875,0.09475,-0.3980833,154.5115,283.3882,206.5315,14.60002
-0.2176667,-0.045,-0.3941667,191.6807,263.487,208.9084,14.70002
-0.16,-0.1301667,-0.39125,219.1298,251.598,202.2419,14.80002
-0.105,-0.2029167,-0.3945833,242.6405,242.7853,194.9013,14.90002
-0.04683333,-0.2241667,-0.4116667,258.1994,241.4302,186.4904,15.00002
-0.05141666,-0.2101667,-0.4226666,256.2528,243.5616,186.9359,15.10002
-0.1576667,-0.1493333,-0.4104167,223.4451,250.0057,201.0149,15.20002
-0.21475,0.001,-0.4035,179.7332,270.142,208.0227,15.30002
-0.1476667,0.2008333,-0.3839167,126.3259,297.6148,201.0383,15.40002
0.04975,0.2793333,-0.38225,79.90136,306.1579,172.5846,15.50002
0.24375,0.1704167,-0.3776667,34.95914,294.2866,147.1614,15.60002
0.28975,-0.001416667,-0.3733333,359.7199,269.7826,142.1844,15.70002
0.226,-0.1426667,-0.3875,327.7371,249.7877,149.7482,15.80002
0.09333333,-0.2004167,-0.4068333,294.9713,243.774,167.0791,15.90002
-0.08558333,-0.2125,-0.4280833,248.0631,243.6003,191.3056,16.00002
-0.1793333,-0.1095833,-0.4120833,211.4274,255.1083,203.5181,16.10003
-0.2185,-0.02808333,-0.3989167,187.324,265.9731,208.711,16.20003
-0.2058333,-0.03558333,-0.40875,189.808,265.0247,206.7284,16.30003
-0.175,-0.11975,-0.4051667,214.3833,253.5346,203.3605,16.40003
-0.03725,-0.221,-0.4095833,260.4326,241.6499,185.1965,16.50003
0.1270833,-0.2125,-0.4035,300.8811,242.2268,162.5181,16.60003
0.2716667,-0.07541667,-0.39375,344.485,259.1572,145.3964,16.70003
0.2770833,0.09708333,-0.3764167,19.30923,284.4622,143.6429,16.80003
0.175,0.2354167,-0.3679167,53.37426,302.6137,154.5618,16.90003
0.035,0.2695833,-0.36625,82.60266,306.3554,174.5412,17.00003
-0.1076667,0.24225,-0.37725,113.9625,302.7064,195.9287,17.10003
-0.1958333,0.1401667,-0.4005833,144.407,289.2853,206.0527,17.20003
-0.2114167,0.04,-0.4055833,169.2863,275.6325,207.5315,17.30003
-0.19375,-0.06541667,-0.4108333,198.6565,260.9528,205.2487,17.40003
-0.1725,-0.1385,-0.4108333,218.7609,251.37,202.7765,17.50003
-0.141,-0.1726667,-0.3976667,230.7648,246.5295,199.5229,17.60003
-0.1625,-0.1141667,-0.3908334,215.0905,253.7164,202.5765,17.70003
-0.211,-0.04458333,-0.4001667,191.9309,263.6428,207.8018,17.80003
-0.2304167,0.0935,-0.39375,157.9133,283.3581,210.3355,17.90003
-0.1476667,0.2205833,-0.3776667,123.7998,300.2879,201.3554,18.00003
-0.02625,0.2858333,-0.37,95.24713,307.6869,184.0581,18.10003
0.13875,0.2629167,-0.3764167,62.17787,304.9332,159.7657,18.20003
0.24725,0.15625,-0.38225,32.2909,292.233,147.1041,18.30003
0.2775,0.001833333,-0.3776667,0.3785251,270.2781,143.6925,18.40003
0.2370833,-0.1035,-0.3883333,336.4161,255.0762,148.5953,18.50003
0.20375,-0.1530833,-0.4043333,323.0814,249.263,153.2557,18.60003
0.1768333,-0.1730833,-0.3989167,315.614,246.5448,156.093,18.70004
0.1889167,-0.16625,-0.4068333,318.6517,247.7729,155.0918,18.80004
0.2264167,-0.1116667,-0.3904166,333.7479,254.0385,149.889,18.90004
0.261,-0.03291667,-0.39975,352.812,265.2927,146.8592,19.00004
0.2795833,0.0585,-0.381,11.81806,278.7292,143.7282,19.10004
0.2404167,0.1501667,-0.3843333,31.98931,291.3416,147.9723,19.20004
0.2025,0.1964167,-0.3879167,44.12632,296.8548,152.4346,19.30004
0.1995833,0.2125,-0.3818333,46.79533,299.097,152.404,19.40004
0.2164167,0.1943333,-0.3708333,41.92254,297.6566,149.7324,19.50004
0.2395833,0.1605833,-0.3708333,33.8324,293.4142,147.1348,19.60004
0.2708333,0.09916667,-0.3883333,20.1104,284.3252,145.1071,19.70004
0.2758333,0.0385,-0.3764167,7.94584,275.8399,143.7665,19.80004
0.2543334,-0.08,-0.39,342.5392,258.4078,146.8902,19.90004
0.2058333,-0.15225,-0.4104167,323.5106,249.6469,153.3652,20.00004
0.1595833,-0.1791667,-0.4141666,311.6914,246.6069,158.9277,20.10004
0.1805833,-0.1795833,-0.3989167,315.1591,245.7638,155.6445,20.20004
0.1991667,-0.16225,-0.3920834,320.8322,247.5195,153.0708,20.30004
0.216,-0.14225,-0.3839167,326.6325,249.6692,150.6369,20.40004
0.245,-0.1016667,-0.4026667,337.4632,255.8299,148.6818,20.50004
0.2795833,-0.05933333,-0.3851667,348.0184,261.2427,144.025,20.60004
0.2708333,-0.00875,-0.39,358.1495,268.7147,145.2222,20.70004
0.28725,0.03683333,-0.381,7.307017,275.5219,142.986,20.80004
0.2720833,0.06141667,-0.395,12.72005,278.8379,145.4402,20.90004
0.265,0.1055833,-0.3789167,21.72371,285.5703,145.0325,21.00004
0.2416667,0.1655833,-0.37625,34.41787,293.7538,147.2872,21.10004
0.1893333,0.2254167,-0.3801667,49.97222,300.6655,153.5254,21.20004
