Time,Hx,Hy,Hz,Ax,Ay,Az,PID_Output,Integral,Setpoint,error,XY-Heading,YZ-Heading,ZXHeading
0,0.111,-0.211,-0.2925,0.01,-0.03,0.9700001,0,0,219,0,306.7473,234.1945,159.2189
0.05,0.1530833,-0.1675,-0.3589167,0.15,-0.14,1.05,0,-5.264841,219,-87.74734,321.4251,244.9824,156.901
0.1,0.1580833,-0.1941667,-0.3295834,0.03,-0.06,0.98,0,-11.41035,219,-102.4251,318.1512,239.4965,154.3755
0.15,0.071,-0.2275,-0.2589167,0.01,0,0.98,0,-17.35942,219,-99.15121,296.3325,228.6955,164.6653
0.2,0.1168333,-0.2089167,-0.2620833,0.06,-0.13,0.9,0,-21.99937,219,-77.33252,308.2154,231.4403,155.9733
0.25,0.1118333,-0.2180833,-0.2716667,-0.13,-0.13,0.91,0,-30.92092,219,-89.21542,306.1488,231.2439,157.6252
0.3,0.09958333,-0.2129167,-0.2968333,0.22,0.11,1.05,0,-36.14985,219,-87.1488,304.066,234.3484,161.4541
0.35,0.09708333,-0.2241667,-0.2751667,-0.15,-0.17,0.86,0,-41.25381,219,-85.06598,302.4167,230.8318,160.5663
0.4,0.08349999,-0.2326667,-0.2555833,-0.2,-0.24,0.93,0,-46.25882,219,-83.41675,298.7422,227.6873,161.9076
0.45,0.08958333,-0.221,-0.2916667,-0.22,-0.03,0.82,0,-51.04335,219,-79.74219,301.0654,232.8483,162.926
0.5,0.07391667,-0.2201667,-0.3116667,0.06,0.21,0.9,0,-55.96727,219,-82.0654,297.5585,234.762,166.6579
0.5500001,0.05666667,-0.2189167,-0.27,0.19,-0.1,1.08,0,-60.68079,219,-78.55847,293.5125,230.9648,168.147
0.6000001,0.07475,-0.2345833,-0.3070833,-0.31,0.01,0.91,0,-65.15154,219,-74.51251,296.6745,232.6235,166.3192
0.6500001,0.07266667,-0.2375,-0.29125,0.06,-0.08,1.01,0,-69.812,219,-77.6745,296.0123,230.8045,165.9907
0.7000001,0.07891667,-0.225,-0.3041667,0.34,0.16,0.83,0,-74.43274,219,-77.01227,298.3279,233.5087,165.4552
0.7500001,0.071,-0.21625,-0.26875,0.15,0.06,0.86,0,-79.19241,219,-79.32785,297.1762,231.1781,165.2014
0.8000001,0.05416667,-0.21375,-0.2585,0.01,-0.3,0.87,0,-85.36737,219,-74.22006,293.2201,230.4131,168.1653
0.8500002,0.05225,-0.2241667,-0.2751667,-0.02,-0.2,0.79,0,-89.79858,219,-73.12054,292.1205,230.8318,169.2484
0.9000002,0.03891666,-0.2330833,-0.2470833,0.23,0.27,1.03,0,-94.18581,219,-73.12054,288.4789,226.6701,171.0492
0.9500002,0.07016667,-0.2170833,-0.2755833,0.09,-0.47,1.15,0,-98.35455,219,-69.47894,296.9121,231.7717,165.7153
1,0.08641666,-0.2283333,-0.2916667,-0.32,-0.57,0.89,0,-103.0293,219,-77.91211,299.73,231.9441,163.4962
1.05,0.1064167,-0.2041667,-0.3005833,-0.08,0.39,0.94,0,-107.8731,219,-80.73001,306.5296,235.8143,160.5043
1.1,0.07891667,-0.2125,-0.3176667,0.31,-0.18,0.95,0,-113.1249,219,-87.52963,299.3736,236.2198,166.0486
1.15,0.06666667,-0.2076667,-0.2805833,-0.33,-0.31,1.05,0,-117.9473,219,-80.37363,296.7981,233.494,166.6343
1.2,0.08433333,-0.2170833,-0.2818333,0.38,0.38,0.83,0,-122.6152,219,-77.79807,300.2303,232.3946,163.3412
1.25,0.07683333,-0.2226667,-0.3054167,-0.29,-0.74,1.06,0,-127.489,219,-81.23035,298.0375,233.9058,165.8792
1.3,0.086,-0.2201667,-0.2866667,0.14,0.38,1.12,0,-132.2312,219,-79.03751,300.3363,232.4749,163.3008
1.35,0.04641667,-0.2218333,-0.2670834,0.29,0.67,1.13,0,-137.1114,219,-81.33627,290.8181,230.2878,170.141
1.4,0.055,-0.2064167,-0.2985,-0.19,0.04,0.68,0,-141.4205,219,-71.81815,293.9199,235.3356,169.5601
1.45,0.07391667,-0.221,-0.29,-0.37,-0.92,0.79,0,-145.9157,219,-74.91989,297.4933,232.6901,165.7006
1.5,0.05916667,-0.2145833,-0.2870833,0.26,-0.36,1.04,0,-150.6253,219,-78.49326,294.415,233.2234,168.3546
1.55,0.06625,-0.21725,-0.2989167,0.39,0.3,1.08,0,-155.1502,219,-75.41504,295.959,233.9907,167.5033
1.6,0.06666667,-0.2314167,-0.2555833,0.34,0.49,0.9700001,0,-159.7677,219,-76.95898,295.0707,227.8409,165.3806
1.65,0.02375,-0.23625,-0.2716667,0.15,0.47,0.9,0,-164.332,219,-76.07068,284.7406,228.9887,175.0037
1.699999,0.03041667,-0.2241667,-0.2718333,-0.09,0.36,0.69,0,-168.2764,219,-65.7406,286.7271,230.4894,173.6155
1.749999,0.04933333,-0.2258333,-0.29125,-0.24,0.3,0.72,0,-173.7865,219,-72.32269,291.3227,232.2102,170.3862
1.799999,0.06916667,-0.2176667,-0.3041667,0.12,-0.7,0.9700001,0,-179.5723,219,-72.32269,296.6284,234.4119,167.1889
1.849999,0.05416667,-0.2176667,-0.28225,-0.25,-0.49,0.94,0,-184.23,219,-77.62839,292.9743,232.3612,169.1364
1.899999,0.08349999,-0.2145833,-0.3018333,-0.4,-0.7,1.05,0,-190.2937,219,-81.26233,300.2623,234.5897,164.5363
1.949999,0.07433333,-0.20975,-0.30625,-0.25,-1.09,1.01,0,-195.1345,219,-79.51382,298.5138,235.5928,166.3569
1.999999,0.08683333,-0.2218333,-0.29125,-0.27,-1.05,0.91,0,-199.9426,219,-81.37714,300.3771,232.705,163.3985
2.049999,0.07558333,-0.206,-0.29975,-0.14,0.7,0.73,0,-204.8006,219,-80.14856,299.1486,235.5016,165.8476
