Time,Hx,Hy,Hz,Ax,Ay,Az,PID_Output,Integral,Setpoint,XY-Heading,YZ-Heading,ZX-Heading
0,0.2901667,0.001416667,-0.3643333,-0.02,-0.11,0.9599999,0,0,291,0,99.27973,270.2228,141.4651
0.05,0.3045833,0.006666667,-0.3508333,0.02,-0.07,1.05,0,0,291,0,100.2539,271.0886,139.0364
0.1,0.2675,0.00225,-0.33375,-0.05,-0.09,1.06,0,0,291,0,99.48192,270.3863,141.2879
0.15,0.2679167,-0.02958333,-0.3430833,-0.12,-0.09,0.94,900,31.792,291,191.5181,92.69893,265.0717,142.0134
0.2,0.27125,-0.08516666,-0.35725,-0.06,-0.16,1.01,900,66.55757,291,209.4312,81.56883,256.5912,142.7916
0.25,0.06875,-0.1876667,-0.3929167,-0.17,-0.09,0.95,900,101.3231,291,209.4312,29.11986,244.4697,170.0752
0.3,0.02375,-0.1808333,-0.4375,-0.07,-0.07,1.04,900,146.8931,291,274.5178,16.4822,247.5431,176.8927
0.35,-0.121,-0.1108333,-0.4116667,0.03,-0.06,1.0,900,146.8931,291,274.5178,321.489,254.9315,196.3795
0.4,-0.12875,-0.08583334,-0.40875,0.3,-0.07,1.19,-900,141.8319,291,-30.48901,312.6901,258.1408,197.4836
0.45,-0.13875,-0.06625,-0.4129167,0.34,-0.08,1.21,46.1076,139.587,291,-13.52344,304.5234,260.8849,198.5736
0.5,-0.1354167,-0.04541667,-0.41975,-0.32,-0.22,0.94,46.1076,139.587,291,-13.52344,297.5407,263.8246,197.8804
0.5500001,-0.1439167,-0.06583333,-0.42225,-0.39,-0.16,0.75,46.1076,139.587,291,-13.52344,303.5813,261.1383,198.8208
0.6000001,-0.125,-0.08141666,-0.4264167,-0.13,-0.0,0.69,-18.43244,137.4985,291,-12.5813,312.0775,259.1905,196.338
0.6500001,-0.1258333,-0.08474999,-0.386,0.2,0.2,0.9599999,-18.43244,137.4985,291,-12.5813,312.9607,257.6167,198.0556
0.7000001,-0.1089167,-0.09833334,-0.3891666,-0.18,-0.02,1.22,-18.43244,137.4985,291,-12.5813,321.0767,255.8195,195.6354
0.7500001,-0.10125,-0.09708333,-0.41,-0.2,-0.13,0.8,-280.4334,132.5058,291,-30.07672,322.7965,256.6784,193.8717
0.8000001,-0.08791667,-0.1155833,-0.4170833,0.28,-0.05,1.21,-280.4334,132.5058,291,-30.07672,331.7421,254.5107,191.9031
0.8500002,-0.05266667,-0.1285,-0.42725,-0.12,-0.29,0.7,-280.4334,132.5058,291,-30.07672,346.7134,253.2608,187.0274
0.9000002,-0.076,-0.1539167,-0.4230834,0.08,-0.0,1.12,-580.519,123.2574,291,-55.71338,342.7211,250.0087,190.1837
0.9500002,-0.0625,-0.1543333,-0.3970833,0.41,0.06,1.06,-580.519,123.2574,291,-55.71338,346.9537,248.7605,188.9449
1.0,-0.03083333,-0.1618333,-0.4201667,-0.06,-0.12,0.65,-475.1456,113.9691,291,-55.95367,358.213,248.9351,184.1971
1.05,0.007666667,-0.16225,-0.4251667,-0.47,-0.21,0.99,-475.1456,113.9691,291,-55.95367,11.70535,249.1124,178.9669
