Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,Integral
0,0.1616667,-0.51975,-0.2814167,0.01,-0.04,0.9700001,54.24062,0
0.05,0.1818333,-0.5051666,-0.2751667,-0.03,-0.05,0.98,107.6419,0
0.1,0.1868333,-0.5466667,-0.26375,-0.03,-0.15,0.9700001,161.3523,-1.764188
0.15,0.2135,-0.4918333,-0.2980833,0,-0.1,0.95,159.2899,-1.764188
0.2,0.1855833,-0.5225,-0.29125,0.02,-0.04,1.02,159.3706,-8.693182
0.25,0.1716667,-0.5258333,-0.2625,-0.07,-0.01,0.92,159.6335,-15.63024
0.3,0.1480833,-0.52975,-0.2764167,0.04,0.01,1,162.2494,-15.63024
0.35,0.1754167,-0.5155833,-0.2891667,0.05,0.04,1.01,162.5042,-22.85518
0.4,0.186,-0.526,-0.2605834,0.1,0.05,0.99,162.0395,-30.1056
0.45,0.17125,-0.5329166,-0.3218333,-0.11,-0.08,0.84,161.3071,-30.1056
0.5,0.17975,-0.5376667,-0.29475,0.11,0.09,1.06,161.4086,-37.23631
0.55,0.1539167,-0.5414166,-0.2645833,-0.12,-0.21,0.87,162.6101,-44.49732
0.6,0.1583333,-0.5514167,-0.3075,-0.17,-0.15,0.87,163.208,-44.49732
0.65,0.1275,-0.53975,-0.2739167,-0.17,-0.02,0.98,164.9396,-51.81812
0.7,0.1391667,-0.5545833,-0.28225,-0.17,0.01,1.03,165.5338,-51.81812
0.75,0.1205833,-0.57,-0.2814167,-0.14,-0.18,0.69,166.8925,-59.37151
0.8,0.1568333,-0.5493333,-0.28625,0.26,-0.19,0.77,166.0115,-59.37151
0.85,0.1439167,-0.5726666,-0.3230834,0.13,0.24,1.37,166.0048,-66.97265
0.9,0.1283333,-0.561,-0.2866667,-0.25,-0.27,0.73,165.6913,-74.57313
0.95,0.1404167,-0.5635,-0.31125,0.29,0.15,0.99,166.3385,-74.57313
1,0.1366667,-0.5655833,-0.2764167,-0.35,-0.28,0.89,166.5126,-82.20698
1.05,0.1439167,-0.56225,-0.3018333,0.49,0.14,1.26,166.0219,-82.20698
1.1,0.13625,-0.5591667,-0.3033333,-0.05,-0.16,0.63,166.1213,-89.80917
1.15,0.1266667,-0.57,-0.2833333,-0.44,-0.06,1.06,166.4732,-97.4213
1.2,0.1033333,-0.5679167,-0.2780833,0.27,0.11,1.25,167.8216,-97.4213
1.25,0.09458333,-0.56225,-0.2641666,0.53,0.1,0.99,169.2033,-105.2035
1.3,0.1130833,-0.5535,-0.2866667,0.26,0.04,0.59,169.5306,-105.2035
1.35,0.1025,-0.5895833,-0.31125,0.14,-0.08,0.56,169.6805,-113.1565
1.4,0.1076667,-0.576,-0.2935,-0.07,0.02,0.55,169.3343,-121.1246
1.45,0.10725,-0.5718333,-0.3054167,0.13,0.02,0.64,169.6424,-121.1246
1.5,0.07266667,-0.56875,-0.2679167,0.25,0.14,0.74,170.5029,-129.0888
1.55,0.08641666,-0.6089167,-0.3066667,0.1,0.02,1.28,171.3396,-129.0888
1.6,0.10125,-0.60125,-0.2916667,-0.52,-0.05,1.1,171.6942,-137.2228
1.65,0.1130833,-0.5904167,-0.3054167,-0.61,-0.3,0.89,170.507,-145.3922
1.7,0.1029167,-0.58725,-0.3041667,-0.07,-0.18,0.55,169.8861,-145.3922
1.75,0.08016666,-0.5980833,-0.3108333,0.45,0.32,1.04,170.5276,-153.3808
1.8,0.095,-0.5976667,-0.261,0.2,-0.12,1.33,171.1312,-153.3808
1.85,0.09458333,-0.5941667,-0.3214167,-0.55,-0.3,0.85,171.4297,-161.4939
1.9,0.08058333,-0.6008334,-0.2968333,0.28,0.07,0.76,171.4282,-169.6369
1.95,0.07808333,-0.6145833,-0.2589167,0.52,0.06,1.17,172.0252,-169.6369
2,0.07433333,-0.6041667,-0.3241667,-0.65,-0.16,0.92,172.7021,-177.8394
2.05,0.04225,-0.6076667,-0.2730833,0.37,0.29,0.73,173.9226,-177.8394
2.1,0.08016666,-0.59725,-0.31975,-0.3,-0.15,1.27,173.7879,-186.2317
2.15,0.04766666,-0.6064167,-0.27475,0.25,0.23,0.75,174.6278,-194.6105
2.2,0.08474999,-0.60375,-0.30625,-0.03,-0.27,1.25,173.29,-194.6105
2.25,0.02333333,-0.6158333,-0.2964167,-0.17,0.07,0.82,175.1151,-202.9395
2.3,0.041,-0.5929167,-0.3026667,-0.67,0.02,0.93,175.2946,-202.9395
2.35,0.02916667,-0.6158333,-0.2883333,0.6,0.22,1.2,177.0543,-211.4689
2.4,0.041,-0.605,-0.2955833,-0.4,-0.64,0.81,176.4853,-220.1744
2.45,0.04433333,-0.6154166,-0.27475,0.26,0,1.23,176.4304,-220.1744
2.5,0.03808333,-0.6033334,-0.3133333,-0.29,-0.17,0.57,176.1303,-228.8174
2.55,0.04183333,-0.58875,-0.3014167,0.01,-0.23,1.06,176.0678,-228.8174
2.6,0.02,-0.6041667,-0.29475,0.55,-0.06,0.88,176.8093,-237.4242
2.65,0.05333333,-0.6154166,-0.2943333,-0.6,-0.63,0.71,176.3622,-246.1051
2.7,0.05375,-0.6004167,-0.3075,0.23,0.35,1.21,176.0118,-246.1051
2.75,0.03641667,-0.60375,-0.301,-0.12,-0.16,0.82,175.4932,-254.7063
2.8,0.0275,-0.6185,-0.3139167,-0.41,-0.58,0.86,176.2956,-254.7063
2.85,0.03975,-0.6125,-0.3176667,0.72,-0.02,1.19,176.7631,-263.3358
2.9,-0.01516667,-0.621,-0.27475,-0.57,-0.21,0.85,58.38002,-272.0121
2.95,0.000583333,-0.6105833,-0.3018333,0.16,0.15,1.28,59.21038,-272.0121
3,0.01516667,-0.6201667,-0.3091667,0.42,0.19,0.71,59.98112,-268.9332
3.05,0.03083333,-0.62375,-0.3164167,-0.6,-0.06,0.76,178.5715,-268.9332
3.1,0.005166667,-0.6129167,-0.3030833,-0.08,-0.2,1.03,178.4287,-277.7903
3.15,0.011,-0.6114166,-0.3066667,0.65,0.14,1.04,178.5521,-286.6332
3.2,-0.003916667,-0.62875,-0.2951667,-0.08,-0.08,0.7,59.61441,-286.6332
3.25,-0.01516667,-0.6154166,-0.2793333,-0.51,-0.5,0.69,-59.75401,-283.5947
3.3,-0.009333333,-0.6175,-0.2916667,0.05,-0.44,1.19,-179.1218,-268.6193
3.35,-0.02,-0.60375,-0.3066667,0.69,-0.01,1.08,-178.6083,-268.6193
3.4,-0.04766666,-0.6080833,-0.27725,-0.54,-0.12,0.7,-177.5849,-241.7584
3.45,-0.07766667,-0.6214167,-0.3095833,0.19,0.42,1.26,-175.4988,-241.7584
3.5,-0.08391666,-0.6154166,-0.2858333,-0.55,-0.41,0.92,-173.543,-215.2085
3.55,-0.1151667,-0.59375,-0.316,0.39,0.35,0.64,-171.378,-188.8542
3.6,-0.1405833,-0.5651667,-0.2993333,0,-0.3,1.3,-169.0965,-188.8542
3.65,-0.1708333,-0.5389166,-0.3189167,-0.49,-0.21,1.01,-165.822,-162.9446
3.7,-0.195,-0.5168333,-0.3308333,-0.49,0,0.6,-162.5906,-162.9446
3.75,-0.2308333,-0.4795833,-0.336,0.08,-0.17,0.46,-158.6793,-137.6855
3.8,-0.2501667,-0.4079166,-0.3079167,0.13,-0.11,0.58,-154.0354,-112.8176
3.85,-0.2645833,-0.3601667,-0.3275,0.39,0.35,1.22,-148.8254,-112.8176
3.9,-0.2576667,-0.2980833,-0.3095833,0.45,0.37,1.13,-143.7794,-88.93508
3.95,-0.2291667,-0.2491667,-0.31125,0.27,-0.05,0.84,-140.0841,-88.93508
4,-0.186,-0.1993333,-0.3018333,-0.39,-0.43,0.85,-137.8452,-65.92667
