x,y,z,heading1,heading2,heading3
0.03675002,0.2265,-0.3885833,9.216026,149.7626,-84.59735,0
0.01716667,0.2273333,-0.3860833,4.318393,149.5096,-87.45409,0.01
0.005916685,0.2154167,-0.39175,1.573304,151.1943,-89.1347,0.02
0.001333326,0.215,-0.3925833,0.3553162,151.2925,-89.8054,0.03
0.0004999936,0.2075,-0.4021667,0.1380601,152.7083,-89.92876,0.04
-0.01349999,0.1873333,-0.4050833,-4.121838,155.1815,-91.90874,0.05
-0.01075,0.1908333,-0.4123333,-3.22417,155.1647,-91.49342,0.06
-0.01433332,0.1706667,-0.4348333,-4.800681,158.5706,-91.88794,0.06999999
-0.02283333,0.1581667,-0.4259167,-8.214607,159.6272,-93.06867,0.07999999
-0.02241667,0.1485834,-0.4388333,-8.57947,161.2946,-92.92426,0.08999998
-0.03575,0.1448333,-0.4419167,-13.86547,161.854,-94.62502,0.09999999
-0.04516665,0.1383333,-0.4500833,-18.08216,162.9151,-95.73054,0.11
-0.04075,0.1245833,-0.43925,-18.11242,164.1652,-95.30025,0.12
-0.04741666,0.105,-0.4405,-24.30332,166.5928,-96.14381,0.13
-0.03933333,0.1041667,-0.45175,-20.68653,167.0154,-94.97612,0.14
-0.03366666,0.09525002,-0.4638333,-19.46624,168.3954,-94.15144,0.15
-0.03266667,0.07833335,-0.4625833,-22.63717,170.3888,-94.0394,0.16
-0.02991666,0.08066666,-0.46525,-20.34819,170.1636,-93.67918,0.17
-0.03991666,0.05733335,-0.463,-34.84643,172.941,-94.92745,0.18
-0.04241666,0.05691669,-0.47175,-36.695,173.1205,-95.13783,0.19
-0.05408334,0.0375,-0.4813333,-55.26355,175.5452,-96.41094,0.2
-0.04574999,0.03833333,-0.4813333,-50.04079,175.4466,-95.42956,0.21
-0.06449999,0.02416667,-0.4781666,-69.46017,177.1067,-97.68226,0.22
-0.06766666,0.004416675,-0.483,-86.26553,179.4761,-97.97504,0.23
-0.07474999,0.0004166663,-0.4846666,-89.68063,179.9507,-98.76762,0.24
-0.07849998,-0.01666665,-0.4725833,-101.9867,-177.9802,-99.43118,0.25
-0.08474999,-0.02349999,-0.4825833,-105.4979,-177.2121,-99.96055,0.26
-0.08474999,-0.03391667,-0.4746666,-111.8111,-175.9129,-100.1233,0.27
-0.09991667,-0.04291666,-0.4838333,-113.2447,-174.931,-101.6682,0.28
-0.09724999,-0.05683332,-0.4813333,-120.3022,-173.266,-101.4224,0.29
-0.09324999,-0.07308333,-0.4859167,-128.0871,-171.4466,-100.8633,0.3
-0.08908333,-0.08391666,-0.46775,-133.2894,-169.829,-100.7829,0.31
-0.09808332,-0.1005833,-0.4755,-135.721,-168.0562,-101.6552,0.32
-0.1026667,-0.1208333,-0.4810833,-139.6469,-165.9007,-102.0466,0.3299999
-0.09491665,-0.13375,-0.47775,-144.6383,-164.36,-101.2369,0.3399999
-0.09866667,-0.15625,-0.4613333,-147.729,-161.2892,-102.0721,0.3499999
-0.0995,-0.1691667,-0.4725833,-149.5369,-160.3046,-101.8897,0.3599999
-0.1151667,-0.1730833,-0.4621667,-146.3609,-159.4689,-103.9925,0.3699999
-0.1186667,-0.1845833,-0.44925,-147.2635,-157.6637,-104.7964,0.3799999
-0.12475,-0.1914166,-0.4581666,-146.9069,-157.3254,-105.2313,0.3899999
-0.1426667,-0.1993333,-0.4384167,-144.408,-155.5503,-108.0256,0.3999999
-0.1403333,-0.20625,-0.4363333,-145.7685,-154.7004,-107.8288,0.4099999
-0.1735,-0.2289167,-0.4185833,-142.8409,-151.3264,-112.5137,0.4199999
-0.1749166,-0.2208333,-0.4094167,-141.6181,-151.6582,-113.1338,0.4299999
-0.1815833,-0.2370833,-0.3994166,-142.5513,-149.3077,-114.4476,0.4399999
-0.19475,-0.2526667,-0.3834167,-142.3757,-146.6156,-116.9275,0.4499999
-0.20225,-0.2616667,-0.3660833,-142.2985,-144.4438,-118.9193,0.4599998
-0.2053333,-0.2685,-0.3496666,-142.5933,-142.4803,-120.4226,0.4699998
-0.221,-0.2704166,-0.3213334,-140.7423,-139.9178,-124.5186,0.4799998
-0.22825,-0.282,-0.3113333,-141.0134,-137.8303,-126.2465,0.4899998
-0.2314167,-0.2911667,-0.26275,-141.5226,-132.0632,-131.3719,0.4999998
-0.2426667,-0.30975,-0.25025,-141.9239,-128.9351,-134.1186,0.5099998
-0.2551666,-0.3139167,-0.1815,-140.8941,-120.0356,-144.5758,0.5199998
-0.2445,-0.326,-0.17025,-143.1301,-117.5753,-145.1498,0.5299998
-0.252,-0.3355833,-0.114,-143.096,-108.763,-155.6589,0.5399998
-0.2264167,-0.33975,-0.0785833,-146.3197,-103.0233,-160.8594,0.5499998
-0.2085,-0.342,-0.06650001,-148.6315,-101.0035,-162.3102,0.5599998
-0.1743333,-0.3535,-0.03591666,-153.7492,-95.80151,-168.3586,0.5699997
