x,y,z,heading1,heading2,heading3
-0.2491219,0.08508862,-0.3481242,-71.14218,166.265,-125.588,0
-0.2277836,0.07689738,-0.3577637,-71.34585,167.8694,-122.4844,0.01
-0.2172462,0.06101639,-0.3759363,-74.31191,170.781,-120.0228,0.02
-0.1913418,0.02507523,-0.3905534,-82.53396,176.3264,-116.1014,0.03
-0.1885318,0.02298563,-0.4030372,-83.04885,176.7359,-115.0691,0.04
-0.1737794,0.00167168,-0.4107013,-89.44885,179.7668,-112.9346,0.05
-0.1847559,-0.009361397,-0.4075408,-92.90063,-178.6841,-114.3868,0.06
-0.1926589,-0.01897359,-0.401615,-95.6245,-177.2952,-115.6275,0.06999999
-0.1938005,-0.06076562,-0.4012199,-107.4087,-171.3879,-115.7818,0.07999999
-0.2236565,-0.0845871,-0.3787016,-110.7167,-167.409,-120.5656,0.08999998
-0.2396382,-0.07372116,-0.3734079,-107.0997,-168.8318,-122.6907,0.09999999
-0.2536881,-0.07581076,-0.3631364,-106.638,-168.2079,-124.9382,0.11
-0.2760801,-0.05182213,-0.3427515,-100.6311,-171.4023,-128.8508,0.12
-0.2732701,-0.05140421,-0.3328751,-100.6533,-171.2214,-129.3839,0.13
-0.2923252,-0.02925442,-0.3275813,-95.71484,-174.8968,-131.7449,0.14
-0.2989111,0.02131395,-0.3070383,-85.9214,176.029,-134.2316,0.15
-0.2907446,0.04012038,-0.3123321,-82.14326,172.6802,-132.9499,0.16
-0.2960134,0.08007355,-0.3123321,-74.86338,165.6206,-133.4634,0.17
-0.2885494,0.09762622,-0.3099617,-71.30754,162.5175,-132.951,0.18
-0.2618546,0.1339853,-0.2906039,-62.90216,155.2475,-132.0211,0.19
-0.2495609,0.1771983,-0.3066432,-54.62372,149.9779,-129.1404,0.2
-0.2311205,0.1749415,-0.3103568,-52.87691,150.591,-126.6748,0.21
-0.2056551,0.2026914,-0.3165197,-45.41582,147.3655,-123.0133,0.22
-0.1894099,0.2043631,-0.3208653,-42.82528,147.5064,-120.5538,0.23
-0.1757991,0.2255099,-0.3165197,-37.93864,144.5314,-119.0483,0.24
-0.1658764,0.2267637,-0.3208653,-36.18526,144.7502,-117.3374,0.25
-0.1663154,0.2263457,-0.3237887,-36.30788,145.0444,-117.1875,0.26
-0.1643835,0.2164828,-0.3307417,-37.21077,146.7937,-116.4281,0.27
-0.1606076,0.2319458,-0.31889,-34.70012,143.9696,-116.7319,0.28
-0.1630664,0.241976,-0.3257641,-33.97583,143.3952,-116.591,0.29
-0.1573586,0.2263457,-0.3173098,-34.80755,144.4987,-116.3775,0.3
-0.1626273,0.2271816,-0.3315319,-35.59688,145.5792,-116.1295,0.31
-0.1639445,0.2221665,-0.3291615,-36.42492,145.9827,-116.4764,0.32
-0.1588514,0.2189903,-0.33248,-35.95642,146.6288,-115.5374,0.3299999
-0.1417281,0.2221665,-0.3348503,-32.53529,146.4365,-112.9409,0.3399999
-0.1241658,0.2198261,-0.3406182,-29.45934,147.1628,-110.0283,0.3499999
-0.1191605,0.2210799,-0.3500995,-28.32435,147.7285,-108.7966,0.3599999
-0.1209167,0.2100468,-0.3631364,-29.92756,149.9539,-108.4167,0.3699999
-0.1219705,0.1853895,-0.3702475,-33.34151,153.4021,-108.2334,0.3799999
-0.1285564,0.1757773,-0.3710376,-36.18021,154.651,-109.1101,0.3899999
-0.1364594,0.1671682,-0.3805189,-39.22477,156.2833,-109.7285,0.3999999
-0.1318932,0.1425109,-0.3820992,-42.78413,159.5461,-109.0437,0.4099999
-0.1314542,0.131227,-0.4004298,-45.04954,161.8552,-108.1741,0.4199999
-0.1171408,0.1165998,-0.3976644,-45.13261,163.6582,-106.4135,0.4299999
-0.1162627,0.1007188,-0.4073828,-49.09749,166.113,-105.9282,0.4399999
-0.1101159,0.08609161,-0.4197876,-51.98074,168.4103,-104.6983,0.4499999
-0.09826132,0.06962555,-0.4239752,-54.67955,170.6741,-103.0486,0.4599998
-0.09782227,0.0488967,-0.4374072,-63.4417,173.6215,-102.6063,0.4699998
-0.08974359,0.02298563,-0.436222,-75.6339,176.9837,-101.6252,0.4799998
-0.09501228,0.0211468,-0.4450713,-77.45225,177.2797,-102.0504,0.4899998
-0.08184052,0.005683724,-0.4480737,-86.02725,179.2733,-100.351,0.4999998
-0.0793818,0.0,-0.450444,-90.0,180.0,-99.99461,0.5099998
-0.05523358,-0.01755264,-0.45716,-107.6297,-177.8012,-96.88902,0.5199998
-0.04250088,-0.01588096,-0.4636389,-110.4888,-178.0382,-95.23755,0.5299998
-0.01642078,-0.02106319,-0.4750956,-142.0602,-177.4615,-91.97952,0.5399998
0.02309448,-0.0167168,-0.477861,125.8987,-177.9965,-87.23311,0.5499998
0.03407097,-0.02591107,-0.4766758,127.2531,-176.8886,-85.91167,0.5599998
0.04443275,-0.04179204,-0.4804684,133.2458,-175.0288,-84.71642,0.5699997
0.0389006,-0.04613841,-0.4816536,139.8648,-174.5282,-85.38255,0.5799997
0.04223746,-0.1104982,-0.4686167,159.0808,-166.7322,-84.84972,0.5899997
0.05497015,-0.1493648,-0.4667994,159.7951,-162.2565,-83.28379,0.5999997
0.07139094,-0.1397526,-0.4660092,152.9403,-163.3064,-81.2902,0.6099997
0.09070953,-0.1380809,-0.4766758,146.6979,-163.845,-79.22565,0.6199997
0.1221461,-0.1255433,-0.4727252,135.7858,-165.1271,-75.51237,0.6299997
0.1210046,-0.1259612,-0.4671945,136.1498,-164.9111,-75.47932,0.6399997
0.1381279,-0.131227,-0.4611105,133.5324,-164.1142,-73.32416,0.6499997
0.1282929,-0.1397526,-0.4632439,137.448,-163.2123,-74.52021,0.6599997
0.1243414,-0.1660816,-0.4624537,143.1786,-160.2452,-74.95061,0.6699996
0.1157359,-0.1748579,-0.4579501,146.5,-159.1018,-75.81685,0.6799996
0.1082719,-0.1911568,-0.4575551,150.4726,-157.3259,-76.6869,0.6899996
0.1041447,-0.200769,-0.4460984,152.5829,-155.7696,-76.85926,0.6999996
0.09114861,-0.2145603,-0.4464934,156.9834,-154.3336,-78.46198,0.7099996
0.08368458,-0.2287696,-0.4419108,159.9073,-152.6302,-79.27688,0.7199996
0.07139094,-0.2179037,-0.443491,161.8598,-153.8334,-80.85526,0.7299996
0.06436601,-0.2016048,-0.4480737,162.2934,-155.7753,-81.82535,0.7399996
0.05953637,-0.1964226,-0.4496539,163.1377,-156.4028,-82.45763,0.7499996
0.05497015,-0.1947509,-0.4496539,164.2378,-156.5819,-83.03018,0.7599996
0.02616791,-0.1765296,-0.4660092,171.5681,-159.2527,-86.78603,0.7699996
0.02704603,-0.1671682,-0.4575551,170.8098,-159.9302,-86.61718,0.7799995
0.01984546,-0.1554664,-0.45716,172.7255,-161.2184,-87.51433,0.7899995
0.005795594,-0.1405884,-0.4583452,177.6394,-162.9476,-89.27555,0.7999995
-0.00605901,-0.1276329,-0.4620587,-177.2821,-164.5584,-90.75127,0.8099996
-0.02256761,-0.104898,-0.4664043,-167.8585,-167.3246,-92.77016,0.8199995
-0.0231823,-0.08985289,-0.4731203,-165.533,-169.2467,-92.80517,0.8299995
-0.03152441,-0.05391173,-0.4652191,-149.6834,-173.3898,-93.87657,0.8399995
-0.03854935,-0.05391173,-0.4694068,-144.4335,-173.4482,-94.69479,0.8499995
-0.0449596,-0.02231695,-0.4682216,-116.3988,-177.2712,-95.48484,0.8599995
-0.04776958,0.002340364,-0.4545526,-87.19516,179.705,-95.99927,0.8699995
-0.06006322,0.02758275,-0.4656142,-65.33405,176.6098,-97.35043,0.8799994
-0.05286266,0.04663992,-0.4513922,-48.57853,174.1009,-96.67949,0.8899995
-0.03152441,0.09946507,-0.4407256,-17.58546,167.2823,-94.0913,0.8999994
-0.01835264,0.1149281,-0.4446762,-9.072845,165.5088,-92.36336,0.9099995
0.01150335,0.1512872,-0.4358269,4.348204,160.8567,-88.48807,0.9199994
0.01694766,0.1571381,-0.4300591,6.155672,159.9283,-87.74326,0.9299994
0.05734108,0.1951688,-0.4144938,16.37292,154.7861,-82.12369,0.9399994
0.07841588,0.1991809,-0.4008249,21.48915,153.5759,-78.93067,0.9499994
0.1157359,0.2085423,-0.3963212,29.0292,152.2469,-73.72085,0.9599994
0.128732,0.2194082,-0.380914,30.40115,150.0579,-71.32703,0.9699994
0.1651739,0.2444834,-0.3688252,34.04309,146.4608,-65.87536,0.9799994
0.1836143,0.261869,-0.3439367,35.03694,142.7148,-61.90398,0.9899994
0.1985423,0.2804246,-0.3233937,35.29872,139.0704,-58.45283,0.9999993
0.2332279,0.294216,-0.3032458,38.40421,135.8659,-52.43592,1.009999
0.2213734,0.299649,-0.2991371,36.45609,134.951,-53.49709,1.019999
0.2250615,0.3096791,-0.2857052,36.00805,132.6942,-51.77107,1.029999
0.2086407,0.3187061,-0.2746436,33.21073,130.753,-52.77686,1.039999
0.2218124,0.3201271,-0.2672956,34.71765,129.8608,-50.31277,1.049999
0.2156656,0.3339184,-0.2597895,32.85693,127.883,-50.30206,1.059999
0.203811,0.340438,-0.2692709,30.90782,128.3424,-52.87793,1.069999
0.1886196,0.3368439,-0.256234,29.24715,127.2599,-53.64237,1.079999
0.1928346,0.3581578,-0.2525205,28.29831,125.1859,-52.63322,1.089999
0.1717598,0.3517219,-0.2402737,26.0281,124.3384,-54.4409,1.099999
0.1673692,0.3769643,-0.235691,23.94084,122.015,-54.62063,1.109999
0.1476115,0.4003678,-0.2052716,20.23841,117.1445,-54.27995,1.119999
0.1304882,0.4028753,-0.187336,17.94674,114.9383,-55.141,1.129999
0.1210046,0.4287863,-0.1701116,15.7592,111.6396,-54.57481,1.139999
0.1078328,0.4315447,-0.1479884,14.02958,108.9282,-53.92077,1.149999
0.08746049,0.4421598,-0.1233368,11.18884,105.586,-54.65881,1.159999
0.07428874,0.451772,-0.117569,9.338067,104.5871,-57.71229,1.169999
0.03652967,0.4687396,-0.07000412,4.456151,98.49407,-62.44346,1.179999
0.01475237,0.4683216,-0.0547549,1.804249,96.66859,-74.9211,1.189999
