x,y,z,heading1,heading2,heading3
0.2914123,0.04011937,-0.4055979,82.16123,174.351,305.6964,0
0.2866205,0.03814987,-0.4176678,82.41836,174.7811,304.4595,0.01
0.2966397,0.02688435,-0.4079612,84.82144,176.2297,306.0219,0.02
0.2962041,0.03594403,-0.4083833,83.08105,174.97,305.9537,0.03
0.2944616,0.02373316,-0.406864,85.39201,176.6616,305.8946,0.04
0.2909767,0.03712573,-0.3940343,82.72891,174.6175,306.4442,0.05
0.2805219,0.02688435,-0.4030657,84.52567,176.184,304.8368,0.06
0.2973367,0.03224138,-0.4151357,83.81137,175.5591,305.6118,0.06999999
0.2935904,0.03476234,-0.4182586,83.24738,175.2489,305.0664,0.07999999
0.2805219,0.04287666,-0.4324388,81.30982,174.3376,302.9714,0.08999998
0.2957685,0.04248276,-0.4212129,81.82621,174.2407,305.0759,0.09999999
0.2781696,0.04342812,-0.4241671,81.12655,174.1542,303.257,0.11
0.2805219,0.03972547,-0.4182586,81.93978,174.5744,303.8494,0.12
0.2759915,0.03105968,-0.4266992,83.57903,175.8367,302.895,0.13
0.2927191,0.03555013,-0.4172458,83.07545,175.1301,305.0516,0.14
0.2840068,0.03972547,-0.423323,82.03741,174.6389,303.8576,0.15
0.2787794,0.04169497,-0.4168238,81.49374,174.2877,303.7753,0.16
0.2901054,0.03854377,-0.4147137,82.43193,174.6901,304.974,0.17
0.2892342,0.03893766,-0.3975794,82.33275,174.4065,306.0354,0.18
0.294026,0.03027189,-0.4051758,84.12173,175.7272,305.9675,0.19
0.2948972,0.04169497,-0.4092273,81.95239,174.1824,305.7773,0.2
0.2781696,0.05272414,-0.4104934,79.26749,172.6809,304.1234,0.21
0.2800863,0.04208886,-0.4134476,81.45404,174.1873,304.1153,0.22
0.3047421,0.03854377,-0.4060199,82.7915,174.5771,306.8904,0.23
0.3021284,0.04697321,-0.4207908,81.16273,173.6304,305.6784,0.24
0.2944616,0.04248276,-0.4307507,81.79043,174.3674,304.3566,0.25
0.306049,0.04169497,-0.4047538,82.242,174.1185,307.0942,0.26
0.2982079,0.04539762,-0.3975794,81.34405,173.4859,306.8721,0.27
0.2892342,0.0548512,-0.3969885,79.26178,172.1333,306.076,0.28
0.2931547,0.04500372,-0.3992675,81.27235,173.569,306.2873,0.29
0.3090983,0.05760849,-0.4134476,79.44257,172.0676,306.7822,0.3
0.3012572,0.04957295,-0.4121815,80.65552,173.142,306.1625,0.31
0.3158068,0.05760849,-0.3927683,79.66195,171.6557,308.8011,0.32
0.2901054,0.04697321,-0.4005336,80.80261,173.3111,305.9157,0.3299999
0.3112764,0.04327056,-0.4113374,82.08602,173.9949,307.1163,0.3399999
0.3156325,0.0568207,-0.3957224,79.79482,171.8289,308.5762,0.3499999
0.3099695,0.04130106,-0.3975794,82.41048,174.0693,307.9415,0.3599999
0.3171136,0.02948409,-0.3927683,84.68811,175.707,308.9167,0.3699999
0.3171136,0.02649045,-0.3957224,85.22482,176.1702,308.7071,0.3799999
0.3158068,0.02869629,-0.3984234,84.80798,175.8804,308.4018,0.3899999
