x,y,z,heading1,heading2,heading3
-0.1485,-0.1141667,-0.3883333,-127.553,-163.6171,-110.927,0
-0.1345833,-0.1220833,-0.3976667,-132.2118,-162.9335,-108.6975,0.01
-0.13375,-0.1229167,-0.3789167,-132.5831,-162.0275,-109.442,0.02
-0.1551667,-0.10475,-0.3855834,-124.0225,-164.8015,-111.9209,0.03
-0.14975,-0.11,-0.3818333,-126.2994,-163.9292,-111.4145,0.04
-0.1641667,-0.08666667,-0.3925,-117.8304,-167.5485,-112.6975,0.05
-0.1754167,-0.08308333,-0.3789167,-115.3438,-167.6327,-114.8414,0.06
-0.1818333,-0.06291667,-0.3925,-109.0863,-170.8931,-114.8568,0.06999999
-0.2033333,-0.03766667,-0.3805833,-100.4948,-174.3478,-118.1141,0.07999999
-0.2251667,-0.01791667,-0.3754167,-94.54947,-177.2676,-120.9544,0.08999998
-0.22725,0.0001666667,-0.3466667,-89.95797,179.9724,-123.246,0.09999999
-0.2416667,0.01875,-0.3525,-85.56352,176.9552,-124.4337,0.11
-0.2530833,0.0385,-0.3491667,-81.35026,173.7078,-125.9354,0.12
-0.2518333,0.05933333,-0.3525,-76.74257,170.4454,-125.5428,0.13
-0.2618333,0.09041667,-0.3368333,-70.9491,164.9742,-127.8593,0.14
-0.2704167,0.1245833,-0.3279166,-65.26406,159.197,-129.5107,0.15
-0.2679167,0.1358333,-0.3193333,-63.11506,156.9568,-129.9962,0.16
-0.2766667,0.161,-0.29475,-59.80368,151.3555,-133.1874,0.17
-0.2589167,0.17475,-0.3001667,-55.9835,149.793,-130.7803,0.18
-0.2593333,0.1891667,-0.28375,-53.8917,146.3099,-132.4258,0.19
-0.25975,0.2058333,-0.2845833,-51.60569,144.1225,-132.3879,0.2
-0.2645833,0.235,-0.2589167,-48.38887,137.7722,-135.6202,0.21
-0.256,0.2495833,-0.2625,-45.72713,136.4449,-134.2818,0.22
-0.2535,0.2741667,-0.2351667,-42.75709,130.6214,-137.1485,0.23
-0.2543334,0.2741667,-0.2189167,-42.85083,128.6067,-139.2799,0.24
-0.2379167,0.3026667,-0.19875,-38.16976,123.2914,-140.1254,0.25
-0.2420833,0.3191667,-0.1943333,-37.17979,121.3363,-141.2441,0.26
-0.24975,0.3429167,-0.1680833,-36.06626,116.1121,-146.0592,0.27
-0.2370833,0.3620833,-0.1335,-33.21579,110.2389,-150.6164,0.28
-0.2316667,0.3793334,-0.11625,-31.41327,107.0381,-153.3526,0.29
-0.2333333,0.38225,-0.08641666,-31.40075,102.7389,-159.6775,0.3
-0.2235,0.4014167,-0.075,-29.1081,100.583,-161.4498,0.31
-0.1958333,0.4030833,-0.046,-25.91226,96.51044,-166.7812,0.32
-0.1901667,0.4139167,-0.015,-24.67557,92.07544,-175.4899,0.3299999
-0.1851667,0.4295834,0.01416667,-23.31787,88.1112,175.6249,0.3399999
-0.1691667,0.43725,0.02766667,-21.15084,86.37947,170.7117,0.3499999
-0.1468333,0.4505834,0.05958333,-18.04943,82.46714,157.9132,0.3599999
-0.1205833,0.4580833,0.09458333,-14.74767,78.33372,141.89,0.3699999
-0.1130833,0.44725,0.1080833,-14.18937,76.41426,136.2951,0.3799999
-0.08558333,0.45625,0.1555833,-10.62408,71.17038,118.8143,0.3899999
-0.06208333,0.44375,0.16725,-7.964334,69.3485,110.365,0.3999999
-0.03375,0.44375,0.20975,-4.349334,64.70102,99.14087,0.4099999
-0.01958333,0.4285,0.22625,-2.616714,62.16573,94.94697,0.4199999
0.002666667,0.4216667,0.2355833,0.36234,60.80809,89.35147,0.4299999
0.0005833333,0.41125,0.2564167,0.08127054,58.05623,89.86965,0.4399999
0.041,0.4001667,0.2785,5.849958,55.16362,81.62522,0.4499999
0.03,0.3983333,0.2985,4.307032,53.15312,84.26089,0.4599998
0.04808333,0.3770833,0.3075,7.266787,50.8038,81.11271,0.4699998
0.06958333,0.34,0.33,11.56626,45.85509,78.09311,0.4799998
0.07933333,0.3318333,0.3435,13.44566,44.01029,76.99523,0.4899998
0.1004167,0.3295834,0.3545833,16.9448,42.9073,74.18808,0.4999998
0.1085,0.30375,0.37125,19.65681,39.28941,73.70869,0.5099998
0.1254167,0.2793333,0.3691667,24.1794,37.1133,71.23588,0.5199998
0.12625,0.2768333,0.3741667,24.51538,36.49649,71.35475,0.5299998
0.1468333,0.2508333,0.3725,30.34394,33.95546,68.48646,0.5399998
0.156,0.2466667,0.3814167,32.31059,32.89122,67.75536,0.5499998
0.15725,0.2254167,0.3843333,34.89951,30.39219,67.74807,0.5599998
0.18475,0.2205833,0.3920834,39.94792,29.3618,64.77014,0.5699997
0.1918333,0.2025,0.3954167,43.45053,27.1178,64.12002,0.5799997
0.1983333,0.18475,0.386,47.03074,25.57703,62.80513,0.5899997
0.2045833,0.1618333,0.4043333,51.65464,21.81362,63.16164,0.5999997
0.2118333,0.1595833,0.4095833,53.00768,21.28706,62.65234,0.6099997
0.2155833,0.1543333,0.395,54.40161,21.34145,61.37514,0.6199997
0.2375,0.1051667,0.38875,66.1159,15.13762,58.57788,0.6299997
0.2530833,0.08474999,0.3976667,71.48585,12.03078,57.52647,0.6399997
0.24,0.08666667,0.3989167,70.14478,12.25732,58.96764,0.6499997
0.235,0.06058333,0.3891666,75.54383,8.84847,58.87413,0.6599997
0.2304167,0.05808333,0.3941667,75.85166,8.382624,59.69086,0.6699996
0.2526667,0.04891667,0.3883333,79.04299,7.179487,56.95021,0.6799996
0.23875,0.02641666,0.3855834,83.68614,3.919261,58.23455,0.6899996
0.2383333,0.02391667,0.4001667,84.26956,3.420315,59.22259,0.6999996
0.24975,0.02041667,0.3908334,85.32655,2.990345,57.42064,0.7099996
0.25475,0.01083333,0.39375,87.56494,1.575994,57.09777,0.7199996
0.25725,0.006666667,0.3933333,88.5155,0.9710218,56.81429,0.7299996
0.2458333,-0.0075,0.3768333,91.74746,-1.14019,56.88092,0.7399996
0.2539167,-0.005833333,0.3801667,91.31604,-0.8790857,56.26068,0.7499996
0.2585,-0.01391667,0.3793334,93.08161,-2.101078,55.72718,0.7599996
